FC City,L3,Error_Description
FARIDABAD,Blended Oils,Time Series Formed is very insignificant
FARIDABAD,Body Lotions,Time Series Formed is very insignificant
FARIDABAD,"Broom, Mop & Wiper",Time Series Formed is very insignificant
FARIDABAD,Bulbs & LED,Time Series Formed is very insignificant
FARIDABAD,Buttermilk,Time Series Formed is very insignificant
FARIDABAD,"Cakes, Muffins & Rolls",Time Series Formed is very insignificant
FARIDABAD,Camphor,Time Series Formed is very insignificant
FARIDABAD,Candies & Toffees,Time Series Formed is very insignificant
FARIDABAD,Cashew Nuts,Time Series Formed is very insignificant
FARIDABAD,Chana Dal,Time Series Formed is very insignificant
FARIDABAD,Children Health Drinks,Time Series Formed is very insignificant
FARIDABAD,Chips,Time Series Formed is very insignificant
FARIDABAD,Chocolate Gift Packs,Time Series Formed is very insignificant
FARIDABAD,Chocolates,Time Series Formed is very insignificant
FARIDABAD,Chutney,Time Series Formed is very insignificant
FARIDABAD,Cleaning Brush & Utilities,Time Series Formed is very insignificant
FARIDABAD,Cold Drinks,Time Series Formed is very insignificant
FARIDABAD,Condensed Milk,Time Series Formed is very insignificant
FARIDABAD,Cooking Paste & Puris,Time Series Formed is very insignificant
FARIDABAD,Crafts Glues,Time Series Formed is very insignificant
FARIDABAD,Cream Biscuits & Wafers,Time Series Formed is very insignificant
FARIDABAD,Dates,Time Series Formed is very insignificant
FARIDABAD,Detergent Bars,Time Series Formed is very insignificant
FARIDABAD,Detergent Liquids,Time Series Formed is very insignificant
FARIDABAD,Detergent Powders,Time Series Formed is very insignificant
FARIDABAD,Diapers & Pants,Time Series Formed is very insignificant
FARIDABAD,Digestive Care,Time Series Formed is very insignificant
FARIDABAD,Dishwash Bars,Time Series Formed is very insignificant
FARIDABAD,Dishwash Liquids,Time Series Formed is very insignificant
FARIDABAD,Dishwash Powders,Time Series Formed is very insignificant
FARIDABAD,Dishwash Scrub Pads,Time Series Formed is very insignificant
FARIDABAD,Dry Fruit Gift Packs,Time Series Formed is very insignificant
FARIDABAD,Energy Drinks,Time Series Formed is very insignificant
FARIDABAD,Fabric Softeners,Time Series Formed is very insignificant
FARIDABAD,Face Cleansers & Toners,Time Series Formed is very insignificant
FARIDABAD,Face Creams & Moisturisers,Time Series Formed is very insignificant
FARIDABAD,Face Wash,Time Series Formed is very insignificant
FARIDABAD,Flavoured Milk,Time Series Formed is very insignificant
FARIDABAD,Floor Cleaners,Time Series Formed is very insignificant
FARIDABAD,Glass Cleaners,Time Series Formed is very insignificant
FARIDABAD,Glucose & Milk Biscuits,Time Series Formed is very insignificant
FARIDABAD,Green Tea,Time Series Formed is very insignificant
FARIDABAD,Hair Colors & Dyes,Time Series Formed is very insignificant
FARIDABAD,Hair Oils,Time Series Formed is very insignificant
FARIDABAD,Hand Wash,Time Series Formed is very insignificant
FARIDABAD,Honey,Time Series Formed is very insignificant
FARIDABAD,Indian Mithai,Time Series Formed is very insignificant
FARIDABAD,Insect Control,Time Series Formed is very insignificant
FARIDABAD,Instant Coffee,Time Series Formed is very insignificant
FARIDABAD,Jams & Preserves,Time Series Formed is very insignificant
